Year,Category,Bronx,Brooklyn,Manhattan,Queens,Staten island,Citywide
2023,Contracted_Legal_Family_Law,3,3,3,3,2,14
2023,Contracted_Legal_Family_Law_Para,1,1,1,1,1,5
2023,Contracted_Legal_Immigration_Law,1,1,1,1,1,5
2023,Contracted_Legal_Immigration_Law_Para,,,,,,5
2023,Contracted_Legal_Housing_Law,,,,,,3
2023,Contracted_Legal_Language_Spanish,5,3,4,4,3,19
2023,Contracted_Legal_Language_Arabic,0,0,0,0,0,0
2023,Contracted_Legal_Language_Korean,0,0,0,0,0,0
2023,Contracted_Legal_Language_Russian,0,0,1,0,0,1
2023,contracted_legal_language_farsi,0,0,0,0,0,0
2023,contracted_legal_language_polish,0,1,0,0,0,1
2023,contracted_legal_language_portuguese,0,0,0,0,0,0
2023,Contracted Legal Language: French,0,1,0,0,0,1
2023,Contracted Legal Language: Mandarin,0,0,0,1,0,1
2023,Contracted_NonLegal_Case_Management,5,5,5,5,5,25
2023,Contracted_NonLegal_Children_Services,4,4,4,4,4,20
2023,Contracted_NonLegal_Reception_Screening,3,4,3,4,4,18
2023,Econ_Empower_W!SE,1,1,1,0,1,4
2023,Econ_Empower_Steps_Success,0,0,1,0,0,1
2023,Econ_Empower_Everywhere,0,0,1,0,0,1
2023,Econ_Empower_SFF,1,0,1,0,0,2
2023,Econ_Empower_GetCoveredNYC,1,0,1,0,0,2
2023,Econ_Empower_HRA,0,0,0,0,0,0
2023,Econ_Empower_SNAP,1,1,0,0,0,2
2023,Econ_Empower_HousingLink,1,1,1,1,1,5
2023,Econ_Empower_Computer Time,0,0,0,1,0,1
2023,Econ_Empower_Financial_Coaching_TCSS,0,1,0,0,0,1
2023,Training_City_Agency_Staff,,,,,,39
2023,Training_Non_Profit_Staff,,,,,,42
2023,Training_Community_Members,,,,,,0
2023,Training_General Audience_Training,,,,,,13
2023,Training_Other,,,,,,7
2023,Training_Total,,,,,,101
2023,Outreach_Communiity_Events,,,,,,38
2023,Outreach_Communiity_Meetings,,,,,,16
2023,Outreach_Presentations,,,,,,36
2023,Outreach_Other,,,,,,8
2023,Outreach_Salon,,,,,,13
2023,Outreach_Total,,,,,,111
2023,Reports_Published_Annual_Reports,,,,,,"ENDGBV Annual Fact Sheet: 2022;

2023 Annual Report on Outreach to Cosmetologists;

2023 Family Justice Center Client Satisfaction Survey Results;

2023 Annual Domestic Violence Fatality Review Committee Report;

2022 Annual Report on Initiatives, Indicators and Factors;

2022 Annual Report on the Street Harassment Prevention Advisory Board;

2022 Report on the Female, Genital Mutilation and Cutting Advisory Board"
2023,Reports_Published_Research_Reports,,,,,,The Relationship Between Domestic Violence and Shooting Incidents in New York City
2024,FJC_Client_Visits,"10,844","12,860","11,003","13,421","9,528","57,656"
2024,FJC_Unique_Clients,"3,007","4,247","2,688","3,472","1,793","15,207"
2024,FJC_Unique_Clients_Service_Safety_Plan,"4,225","2,839","2,228","2,659","1,478",13429
2024,FJC_Unique_Clients_Service_Crim_Just,"2,083",183,158,"1,377",442,4243
2024,FJC_Unique_Clients_Service_Civ_Legal,"1,094","1,526",685,993,485,4793
2024,FJC_Unique_Clients_Service_Counseling,584,729,822,547,271,2953
2024,FJC_Unique_Clients_Service_Prac_Assistance,360,"1,202",530,688,192,2972
2024,FJC_Unique_Clients_Service_Eco_Empower,300,321,148,349,230,1348
2024,FJC_Unique_Clients_Service_Housing_Shelter,542,856,221,260,276,2155
2024,FJC_Unique_Clients_Service_Health_Mental_Health,85,171,84,73,88,501
2024,Contracted_Legal_Family_Law,3,3,3,3,2,14
2024,Contracted_Legal_Family_Law_Para,1,1,1,1,1,5
2024,Contracted_Legal_Immigration_Law,1,1,1,1,1,5
2024,Contracted_Legal_Immigration_Law_Para,,,,,,4
2024,Contracted_Legal_Housing_Law,,,,,,1
2024,Contracted_Legal_Language_Spanish,6,1,3,4,3,17
2024,Contracted_Legal_Language_Arabic,0,0,0,0,0,0
2024,Contracted_Legal_Language_Korean,0,0,0,0,0,0
2024,Contracted_Legal_Language_Russian,0,0,1,0,0,1
2024,contracted_legal_language_farsi,0,0,0,0,0,0
2024,contracted_legal_language_polish,0,1,0,0,0,1
2024,contracted_legal_language_portuguese,0,0,0,0,0,0
2024,Contracted Legal Language: French,1,1,0,1,0,3
2024,Contracted Legal Language: Mandarin,0,0,0,0,0,0
2024,Contracted Legal Language: German,0,0,1,0,0,1
2024,Contracted_NonLegal_Case_Management,5,5,5,5,5,25
2024,Contracted_NonLegal_Case Management_Manager,1,1,1,1,1,1
2024,Contracted_NonLegal_Children_Services,4,4,4,4,4,20
2024,Contracted_NonLegal_Reception_Screening,3,4,3,4,3,17
2024,Econ_Empower_W!SE,1,1,1,1,0,4
2024,Econ_Empower_Steps_Success,0,0,1,0,0,1
2024,Econ_Empower_Everywhere,0,0,1,0,0,1
2024,Econ_Empower_SFF,1,0,1,0,0,2
2024,Econ_Empower_GetCoveredNYC,1,0,1,0,0,2
2024,Econ_Empower_HRA,1,1,1,1,1,5
2024,Econ_Empower_SNAP,1,1,0,0,0,2
2024,Econ_Empower_HousingLink,1,1,1,1,1,5
2024,Econ_Empower_Computer Time,0,0,0,1,0,1
2024,Econ_Empower_Financial_Coaching_TCSS,0,1,0,0,1,2
2024,Econ_Empower_CSS_Counselor,0,1,0,0,1,2
2024,Econ_Empower_City_Contracted,1,1,1,1,1,5
2024,Training_City_Agency_Staff,,,,,,39
2024,Training_Non_Profit_Staff,,,,,,38
2024,Training_Community_Members,,,,,,0
2024,Training_General Audience_Training,,,,,,24
2024,Training_Other,,,,,,0
2024,Training_Total,,,,,,101
2024,Outreach_Communiity_Events,,,,,,91
2024,Outreach_Communiity_Meetings,,,,,,29
2024,Outreach_Presentations,,,,,,50
2024,Outreach_Other,,,,,,1
2024,Outreach_Salon,,,,,,0
2024,Outreach_Networking,,,,,,22
2024,Outreach_Total,,,,,,193
2024,Reports_Published_Annual_Reports,,,,,,"2024 Annual Report on Outreach to Cosmetologists;

2024 Family Justice Center Client Satisfaction Survey Results;

2024 Annual Domestic Violence Fatality Review Committee Report;

2023 Annual Report on Domestic Violence Initiatives, Indicators and Factors;

2023 Annual Report  on the Street Harassment Prevention Advisory Board;

2023 Annual Report on the Female Mutilation and Cutting Advisory Committee;

End Street Harassment: 2024 Survey Report on Street Harassment in New York City;

ENDGBV Annual Fact Sheet: 2023"
